group,Ebp_AI,Ebp_Human
1,26.385966881223947,26.412415057911467
2,79.57778292274276,68.9087637745997
3,24.334135347760025,24.592643376831095
4,70.01168733862616,65.96212820895202
5,15.319715516328612,14.26840081592691
6,5.442086361482381,4.774084664827379
7,61.64927091997629,55.48927807698421
8,16.46664980982517,16.196296808121126
9,102.19707704114558,89.95066139921413
10,20.93963662622545,20.82820664889426
11,101.24687621194494,93.4951973842877
12,54.03124604473532,48.72020317253986
13,16.46980739749606,15.273295181203604
14,40.546494125143404,34.16455441241293
15,58.06727166756179,51.29445950323988
16,13.178684365623788,13.38717483112258
17,40.28418655427279,39.80353795170807
18,8.513499738283464,8.409332600805241
19,51.5756468367991,53.54829806737707
20,11.383469375717235,11.734613534153814
21,88.31243182459474,88.44605464212908
