group,expected_blocking_pairs,evaluated_pairs,skipped_pairs,mean_blocking_prob,num_men,num_women,matched_pairs,unmatched_men,unmatched_women,unknown_gender,total_pairs
1,2.0313048804600857,91,0,0.022322031653407536,10,10,9,1,1,0,100
2,2.708992920697299,224,0,0.012093718395970085,14,17,14,0,3,0,238
3,0.7307382163144245,72,0,0.010149141893255895,10,8,8,2,0,0,80
4,6.6978103210827795,242,0,0.027676902153234626,16,16,14,2,2,0,256
5,3.726718848267742,43,0,0.08666788019227306,6,8,5,1,3,0,48
6,0.6810261554198449,12,0,0.05675217961832041,5,3,3,2,0,0,15
7,1.5350440310410898,182,0,0.00843430786286313,15,13,13,2,0,0,195
8,1.682113771939815,57,0,0.029510767928768684,8,8,7,1,1,0,64
9,5.939448888569509,307,0,0.019346739050715014,19,17,16,3,1,0,323
10,0.6009737533406353,64,0,0.009390214895947427,9,8,8,1,0,0,72
11,6.295533367935442,307,0,0.020506623348323916,17,19,16,1,3,0,323
12,1.135951751544846,156,0,0.007281741997082347,14,12,12,2,0,0,168
13,0.2299097977769564,49,0,0.004692036689325641,7,8,7,0,1,0,56
14,1.429845369022091,91,0,0.01571258647277023,14,7,7,7,0,0,98
15,0.8905870122902018,169,0,0.005269745634853265,13,14,13,0,1,0,182
16,0.8164584135608567,35,0,0.023327383244595906,8,5,5,3,0,0,40
17,1.3196108984571358,108,0,0.012218619430158664,13,9,9,4,0,0,117
18,2.6205876215315675,26,0,0.10079183159736799,5,6,4,1,2,0,30
19,0.8783573853933206,169,0,0.005197380978658702,14,13,13,1,0,0,182
20,0.2655665395221649,36,0,0.0073768483200601365,7,6,6,1,0,0,42
21,13.377066945687881,248,0,0.0539397860713221,20,13,12,8,1,0,260
22,2.2990778756363572,91,0,0.02526459203995997,10,10,9,1,1,0,100
23,0.21599729173336613,90,0,0.0023999699081485126,10,10,10,0,0,0,100
24,6.9046745845094994,225,0,0.030687442597819997,14,17,13,1,4,0,238
25,1.360531091737552,72,0,0.018896265163021553,10,8,8,2,0,0,80
26,0.5148905990478696,240,0,0.00214537749603279,16,16,16,0,0,0,256
27,0.8229281039144221,42,0,0.019593526283676714,6,8,6,0,2,0,48
28,0.30397583947734036,12,0,0.02533131995644503,5,3,3,2,0,0,15
29,1.8132553764370214,182,0,0.009962941628774842,15,13,13,2,0,0,195
30,4.933594100973807,58,0,0.08506196725816909,8,8,6,2,2,0,64
31,5.888323160209302,307,0,0.019180205733580785,19,17,16,3,1,0,323
32,3.4203286839398603,65,0,0.052620441291382464,9,8,7,2,1,0,72
33,6.227196591403719,307,0,0.020284027985028402,17,19,16,1,3,0,323
34,1.1327212939648312,156,0,0.007261033935671995,14,12,12,2,0,0,168
35,0.2299097977769564,49,0,0.004692036689325641,7,8,7,0,1,0,56
36,1.807882946005101,91,0,0.019866845560495613,14,7,7,7,0,0,98
37,0.8521901762656606,169,0,0.0050425454216903,13,14,13,0,1,0,182
38,0.9284254529279493,35,0,0.026526441512227123,8,5,5,3,0,0,40
39,1.3178168147072764,108,0,0.012202007543585892,13,9,9,4,0,0,117
40,0.24668950116811925,25,0,0.00986758004672477,5,6,5,0,1,0,30
41,0.847557756282543,169,0,0.005015134652559426,14,13,13,1,0,0,182
42,0.2598761762551697,36,0,0.0072187826737547135,7,6,6,1,0,0,42
