,n_single,n_switch,s_threshold,lambda_exponential,lambda_sigmoid,single_accept_rate,switch_accept_rate
1,13.0,24.0,6.325,0.5,0.01,0.6923076923076923,0.0
2,24.0,68.0,6.175,0.5,0.01,0.5833333333333334,0.014705882352941176
3,14.0,20.0,6.4,0.5,0.01,0.5714285714285714,0.0
4,31.0,73.0,6.665,0.5,0.01,0.45161290322580644,0.0410958904109589
5,15.0,28.0,6.77,0.5,0.01,0.3333333333333333,0.10714285714285714
6,3.0,6.0,7.666742857142857,0.5,0.01,1.0,0.0
7,20.0,43.0,6.296472097209721,0.5,0.01,0.65,0.0
8,12.0,21.0,6.459354064593541,0.5,0.01,0.5833333333333334,0.0
9,27.0,80.0,6.470981106889311,0.5,0.01,0.5925925925925926,0.0125
10,15.0,27.0,6.694117647058823,0.5,0.01,0.5333333333333333,0.037037037037037035
11,30.0,97.0,6.574999999999999,0.5,0.01,0.5333333333333333,0.0
12,17.0,48.0,6.720000000000001,0.5,0.01,0.7058823529411765,0.0625
13,12.0,8.0,6.355555555555556,0.5,0.01,0.5833333333333334,0.0
14,8.0,52.0,6.525,0.5,0.01,0.875,0.019230769230769232
15,19.0,62.0,7.0,0.5,0.01,0.6842105263157895,0.08064516129032258
16,5.0,15.0,7.777777777777778,0.5,0.01,1.0,0.0
17,11.0,47.0,6.48,0.5,0.01,0.8181818181818182,0.02127659574468085
18,9.0,15.0,7.15,0.5,0.01,0.4444444444444444,0.06666666666666667
19,26.0,54.0,6.8100000000000005,0.5,0.01,0.5,0.037037037037037035
20,12.0,13.0,6.95,0.5,0.01,0.5,0.07692307692307693
21,48.0,143.0,6.38421052631579,0.5,0.01,0.25,0.055944055944055944
