group,Ebp_AI,Ebp_Human
1,2.7976410651391506,2.431088972628918
2,7.814052303562315,6.469869488031546
3,3.3894614081092778,3.2680184341115703
4,7.346998136183506,5.249831317141569
5,1.8110577553153209,1.8241967524530727
6,0.8109792211033462,0.8109792211033462
7,6.886063933786539,5.4440582269676
8,4.130925615483318,1.4912488910034096
9,12.164511705301885,8.710936976183469
10,3.731876844285493,2.421295972993101
11,10.060600310144334,9.265955618473182
12,8.859827269044805,5.507818339795135
13,3.211845143881808,1.5355655760355427
14,4.954957076031301,5.083101200837192
15,4.929955826815846,5.306632150544201
16,1.4404873513886627,2.423674054000515
17,4.464352018436963,6.615734473154473
18,1.390641694159569,1.0658921312310388
19,5.403988568487323,6.885630085127295
20,1.6911117343857165,1.3577703669881114
21,12.89557791213086,13.659851444382909
