group,iid,pid,age,age,age_o,age_o,career,race,race,race_o,race_o,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,sports,sports,tvsports,tvsports,dining,dining,exercise,exercise,museums,museums,art,art,hiking,hiking,gaming,gaming,clubbing,clubbing,reading,reading,tv,tv,theater,theater,movies,movies,concerts,concerts,music,music,shopping,shopping,yoga,yoga,like,like
1,1,11,21.0,21.0,27.0,27.0,lawyer,4.0,asian/pacific islander/asian-american,2.0,european/caucasian-american,35.0,20.0,20.0,20.0,0.0,5.0,6.0,9.0,7.0,7.0,6.0,5.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,9.0,9.0,2.0,2.0,9.0,9.0,8.0,8.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,6.0,6.0,9.0,9.0,1.0,1.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,1.0,1.0,7.0,7.0
1,1,12,21.0,21.0,22.0,22.0,lawyer,4.0,asian/pacific islander/asian-american,2.0,european/caucasian-american,60.0,0.0,0.0,40.0,0.0,0.0,7.0,8.0,7.0,8.0,5.0,6.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,9.0,9.0,2.0,2.0,9.0,9.0,8.0,8.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,6.0,6.0,9.0,9.0,1.0,1.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,1.0,1.0,7.0,7.0
1,1,13,21.0,21.0,22.0,22.0,lawyer,4.0,asian/pacific islander/asian-american,4.0,asian/pacific islander/asian-american,19.0,18.0,19.0,18.0,14.0,12.0,5.0,8.0,9.0,8.0,5.0,7.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,9.0,9.0,2.0,2.0,9.0,9.0,8.0,8.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,6.0,6.0,9.0,9.0,1.0,1.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,1.0,1.0,7.0,7.0
1,1,14,21.0,21.0,23.0,23.0,lawyer,4.0,asian/pacific islander/asian-american,2.0,european/caucasian-american,30.0,5.0,15.0,40.0,5.0,5.0,7.0,6.0,8.0,7.0,6.0,8.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,9.0,9.0,2.0,2.0,9.0,9.0,8.0,8.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,6.0,6.0,9.0,9.0,1.0,1.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,1.0,1.0,7.0,7.0
1,1,15,21.0,21.0,24.0,24.0,lawyer,4.0,asian/pacific islander/asian-american,3.0,latino/hispanic american,30.0,10.0,20.0,10.0,10.0,20.0,5.0,6.0,7.0,7.0,6.0,6.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,9.0,9.0,2.0,2.0,9.0,9.0,8.0,8.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,6.0,6.0,9.0,9.0,1.0,1.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,1.0,1.0,6.0,6.0
1,1,16,21.0,21.0,25.0,25.0,lawyer,4.0,asian/pacific islander/asian-american,2.0,european/caucasian-american,50.0,0.0,30.0,10.0,0.0,10.0,4.0,9.0,7.0,4.0,6.0,4.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,9.0,9.0,2.0,2.0,9.0,9.0,8.0,8.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,6.0,6.0,9.0,9.0,1.0,1.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,1.0,1.0,6.0,6.0
1,1,17,21.0,21.0,30.0,30.0,lawyer,4.0,asian/pacific islander/asian-american,2.0,european/caucasian-american,35.0,15.0,25.0,10.0,5.0,10.0,7.0,6.0,7.0,4.0,6.0,7.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,9.0,9.0,2.0,2.0,9.0,9.0,8.0,8.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,6.0,6.0,9.0,9.0,1.0,1.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,1.0,1.0,6.0,6.0
1,1,18,21.0,21.0,27.0,27.0,lawyer,4.0,asian/pacific islander/asian-american,2.0,european/caucasian-american,33.33,11.11,11.11,11.11,11.11,22.22,4.0,9.0,7.0,6.0,5.0,6.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,9.0,9.0,2.0,2.0,9.0,9.0,8.0,8.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,6.0,6.0,9.0,9.0,1.0,1.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,1.0,1.0,6.0,6.0
1,1,19,21.0,21.0,28.0,28.0,lawyer,4.0,asian/pacific islander/asian-american,2.0,european/caucasian-american,50.0,0.0,25.0,10.0,0.0,15.0,7.0,6.0,8.0,9.0,8.0,8.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,9.0,9.0,2.0,2.0,9.0,9.0,8.0,8.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,6.0,6.0,9.0,9.0,1.0,1.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,1.0,1.0,7.0,7.0
1,1,20,21.0,21.0,24.0,24.0,lawyer,4.0,asian/pacific islander/asian-american,2.0,european/caucasian-american,100.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,6.0,8.0,10.0,8.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,9.0,9.0,2.0,2.0,9.0,9.0,8.0,8.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,6.0,6.0,9.0,9.0,1.0,1.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,1.0,1.0,6.0,6.0
