group,Ebp_AI,Ebp_Human
1,4.931614150208681,2.844031792279951
2,6.883712492991388,5.248624957145561
3,3.15293391859153,3.128191458890548
4,7.0465507214518945,6.000645806101209
5,1.748350767118882,1.7313297060698243
6,1.1045442701048964,0.7181674079423934
7,4.844120930430193,4.754691277571623
8,2.035029701188535,1.8539452172199993
9,9.694971443785368,8.608551217460622
10,3.9037601343460437,2.428937649871749
11,8.735385883616168,9.568136923850375
12,5.261457261069424,5.185352724491854
13,1.449723573881459,1.59229369826938
14,4.227239048540644,4.001814092080946
15,6.828157839384765,5.848732106353326
16,1.0355678017576289,2.446238048731069
17,4.485092913852245,6.643779524419339
18,1.1909564020564403,1.0281990513309314
19,5.801090902960608,8.693613230173703
20,1.4586221871844982,1.438523289101827
21,10.93585992131688,11.837585293140124
